job_id,query_group,candidate_id,profile_id,rank,final_score_v3,vector_similarity,must_have_coverage,required_skills_overlap,experience_match_score,seniority_alignment,reliability_score,hallucination_risk_encoded,missing_required_count,matched_required_count,label,comment
data_engineer_python_sql,data_engineer_python_sql,candidate_36923c8bf20e,profile_33b6d9cde135,8,0.446,0.6209,0.4,0.4,1.0,0.85,0.9535,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_664415ab2fe1,profile_caab46c986ad,9,0.445,0.617,0.4,0.4,1.0,0.85,0.9504,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_4eef95d3a3fa,profile_070e372f3c0e,10,0.4444,0.6034,0.4,0.4,1.0,0.85,0.9526,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_7eb2ad2aeb2f,profile_0954d86135d2,24,0.3543,0.565,0.4,0.4,1.0,1.0,0.8155,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_80663f3bbd49,profile_eb7cead5f8b2,25,0.3459,0.4697,0.4,0.4,1.0,0.85,0.866,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_8c87c4fde8c1,profile_ad586b8f3ff6,26,0.339,0.3988,0.4,0.4,1.0,0.85,0.888,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_7fcd1b7a9f35,profile_07483af10e34,27,0.312,0.4232,0.4,0.4,0.6667,1.0,0.9002,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_9d8c43c23ef1,profile_18958ae533fc,28,0.3082,0.4917,0.4,0.4,0.5,0.0,0.8957,0.0,3.0,2.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_3cbbbad1bf0f,profile_ddaef382eb94,46,0.2365,0.5346,0.0,0.0,1.0,1.0,0.9381,0.0,5.0,0.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_ecc1fcef13a6,profile_db6e48140b2f,47,0.2335,0.4872,0.0,0.0,1.0,1.0,0.9419,0.0,5.0,0.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_7a19fd397cfc,profile_546d1a12e380,48,0.2332,0.3715,0.2,0.2,1.0,0.85,0.7752,0.0,4.0,1.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_c564b8eceb3d,profile_41aac6a912f1,49,0.233,0.6059,0.2,0.2,1.0,1.0,0.9178,0.0,4.0,1.0,,
data_engineer_python_sql,data_engineer_python_sql,candidate_37a2139d8a6d,profile_43268c803915,50,0.2283,0.4537,0.0,0.0,1.0,0.85,0.9365,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_8eea1b635447,profile_55f949a128da,1,0.5107,0.4077,0.6,0.6,1.0,0.7,0.9742,0.0,2.0,3.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_206d746034ef,profile_0e54d2a788d4,2,0.4919,0.1343,0.6,0.6,0.6667,1.0,0.9598,0.0,2.0,3.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_073b7a3d39ba,profile_5c10a3b5e6c5,3,0.4252,0.4947,0.4,0.4,1.0,0.85,0.9581,0.0,3.0,2.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_1487f3187f7b,profile_a7708a628908,4,0.3906,0.4626,0.4,0.4,0.6667,0.7,0.9903,0.0,3.0,2.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_56424ea73690,profile_e1e6c2c5e6ba,5,0.2605,0.4763,0.2,0.2,1.0,0.85,0.9363,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_1df043636ea4,profile_133336b99224,6,0.2578,0.4506,0.2,0.2,1.0,0.85,0.9405,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_a3c2a6c7cdc8,profile_e558bf1890f2,7,0.2413,0.2729,0.2,0.2,1.0,1.0,0.989,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_dbaac42a9ede,profile_4338a139faef,8,0.2407,0.2851,0.2,0.2,1.0,0.85,0.957,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_851fca236e70,profile_411bd2988925,9,0.2367,0.3229,0.2,0.2,1.0,0.85,0.904,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_9b0508063f03,profile_0e8d85e344a7,10,0.2313,0.2022,0.2,0.2,1.0,0.85,0.9408,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_c5201502b687,profile_ca00cec6e74f,24,0.2179,0.3915,0.0,0.0,1.0,0.85,0.9028,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_e7454f1e925e,profile_44d89aa787f5,25,0.2171,0.3394,0.0,0.0,1.0,0.85,0.9675,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_b6f7add66ffc,profile_69902fee2fa3,26,0.2163,0.3405,0.0,0.0,1.0,1.0,0.9368,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_e8755c28e52c,profile_e34017515943,27,0.2153,0.3624,0.0,0.0,1.0,0.85,0.8961,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_313d77f7dd16,profile_3438e1c9248d,28,0.215,0.3357,0.0,0.0,1.0,0.85,0.9563,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_d8d897a2499b,profile_e5ec47b3d3df,46,0.1995,0.289,0.0,0.0,1.0,0.85,0.8282,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_7a19fd397cfc,profile_546d1a12e380,47,0.1986,0.3369,0.0,0.0,1.0,0.85,0.7752,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_f8961f5ffb20,profile_83b789e1466d,48,0.1981,0.3405,0.2,0.2,0.3333,0.7,0.971,0.0,4.0,1.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_0ac5b136376a,profile_247f9866837d,49,0.1975,0.4663,0.0,0.0,1.0,0.85,0.978,0.0,5.0,0.0,,
devops_docker_kubernetes,devops_docker_kubernetes,candidate_c332df515b4f,profile_2a7c656d5f08,50,0.1956,0.1486,0.0,0.0,1.0,0.85,0.9567,0.0,5.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_f11f0567ec68,profile_2393c2cd03e2,1,0.3936,0.3776,0.5,0.5,0.6667,0.85,0.9515,0.0,3.0,3.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_7fcd1b7a9f35,profile_07483af10e34,2,0.3121,0.2904,0.5,0.5,0.6667,1.0,0.9002,0.0,3.0,3.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_b6f7add66ffc,profile_69902fee2fa3,3,0.257,0.2503,0.3333,0.3333,1.0,1.0,0.9368,0.0,4.0,2.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_7a19fd397cfc,profile_546d1a12e380,4,0.2569,0.4,0.3333,0.3333,1.0,0.85,0.7752,0.0,4.0,2.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_ba88f0c968f6,profile_0230733a0bc9,5,0.2456,0.3814,0.1667,0.1667,1.0,0.85,0.9567,0.0,5.0,1.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_4eef95d3a3fa,profile_070e372f3c0e,6,0.2399,0.3239,0.1667,0.1667,1.0,0.85,0.9526,0.0,5.0,1.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_1487f3187f7b,profile_a7708a628908,7,0.2358,0.4717,0.1667,0.1667,0.6667,0.7,0.9903,0.0,5.0,1.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_073b7a3d39ba,profile_5c10a3b5e6c5,8,0.224,0.4145,0.0,0.0,1.0,0.85,0.9581,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_62c223971113,profile_0ee5a8ec70c7,9,0.2211,0.4092,0.0,0.0,1.0,1.0,0.9041,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_c5201502b687,profile_ca00cec6e74f,10,0.221,0.4185,0.0,0.0,1.0,0.85,0.9028,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_e7454f1e925e,profile_44d89aa787f5,24,0.2142,0.3136,0.0,0.0,1.0,0.85,0.9675,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_75d54f894079,profile_a5e01afcc64f,25,0.2135,0.3138,0.0,0.0,1.0,0.85,0.9592,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_e1fda1d70be1,profile_6fef4a9c24f0,26,0.212,0.321,0.0,0.0,1.0,0.85,0.9386,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_351493983fdf,profile_5f60eed7e725,27,0.2119,0.308,0.0,0.0,1.0,0.85,0.9608,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_dbaac42a9ede,profile_4338a139faef,28,0.2112,0.2947,0.0,0.0,1.0,0.85,0.957,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_950a0934dd4c,profile_543158752f0b,46,0.2018,0.0944,0.3333,0.3333,1.0,0.85,0.9421,0.0,4.0,2.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_e8755c28e52c,profile_e34017515943,47,0.2004,0.2332,0.0,0.0,1.0,0.85,0.8961,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_d46244805ac2,profile_161c74739856,48,0.2001,0.2613,0.0,0.0,1.0,1.0,0.8882,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_206d746034ef,profile_bac609d0f7a3,49,0.198,0.176,0.0,0.0,1.0,1.0,0.9629,0.0,6.0,0.0,,
frontend_react_nextjs,frontend_react_nextjs,candidate_9b0508063f03,profile_0e8d85e344a7,50,0.1952,0.1541,0.0,0.0,1.0,0.85,0.9408,0.0,6.0,0.0,,
fullstack_react_node_mongodb,fullstack_react_node_mongodb,candidate_ba88f0c968f6,profile_0230733a0bc9,1,0.4209,0.469,0.4,0.4,1.0,0.85,0.9567,0.0,3.0,2.0,,
fullstack_react_node_mongodb,fullstack_react_node_mongodb,candidate_a3c2a6c7cdc8,profile_e558bf1890f2,2,0.4146,0.4046,0.4,0.4,1.0,1.0,0.989,0.0,3.0,2.0,,
